School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
Chamberlain University-California,CA,3,100,0,597,0.3518,0.0637,0.1809,0.3015,38046,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
DeVry University-Texas,TX,3,100,0,84,0.3095,0.2381,0.3095,0.0357,22609,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
California Institute of Technology,CA,3,2.69,0,982,0.2118,0.0346,0.22,0.3442,16550,0.810344828,0,0.456521739,0,44848,106300,128566,189000
University of California-Los Angeles,CA,3,8.57,0,32423,0.2573,0.0334,0.2219,0.2949,15637,0.790731205,14000,0.603156959,0.380891393,32613.5,73200,82511,128000
The Juilliard School,NY,3,10.61,0,476,0.3319,0.0693,0.0882,0.1282,41024,0,25500,0.432989691,0,62436,47300,37827,95300
University of California-Berkeley,CA,3,11.33,0,32475,0.2026,0.0207,0.2035,0.3506,17371,0.751293996,13000,0.546496254,0.345800525,31227,79000,92446,149700
Pitzer College,CA,3,18.4,0,1212,0.4868,0.0462,0.132,0.1205,40261,0,16750,0.583333333,0.23,71480.5,51500,69512,90700
University of California-Irvine,CA,3,21.15,0,28651,0.1309,0.02,0.265,0.3809,12426,0.787461459,15000,0.566089737,0.439811172,34735,65800,80735,108500
Wake Forest University,NC,3,21.37,0,5446,0.6594,0.0621,0.0883,0.0417,34720,0.883495146,21500,0.507772021,0.119680851,94263,79600,78158,144400
University of California-San Diego,CA,3,23.71,0,33092,0.1858,0.0165,0.2374,0.3391,15069,0.834979523,15500,0.519856077,0.395708283,35914,69600,84943,122700
Trine University-Regional/Non-Traditional Campuses,IN,3,24.44,0,266,0.6541,0.0414,0.0714,0.0075,19616,0.577419355,25000,0.391951006,0.321561338,56102,49600,57165,79800
California Institute of the Arts,CA,3,24.76,0,931,0.3512,0.043,0.1418,0.0913,51386,0.724137931,25000,0.526490066,0.157342657,55256,50600,41198,96900
Johnson C Smith University,NC,3,25.28,0,1041,0.0067,0.7666,0.0077,0.0029,20528,0.331223629,30000,0.586096257,0.364417178,26404,31400,42680,59200
University of California-Santa Barbara,CA,3,25.85,0,23419,0.3122,0.0187,0.2513,0.1865,15482,0.530453448,13993,0.577854131,0.424005811,36166,62400,74915,104800
The University of Tampa,FL,3,26.35,0,9593,0.6866,0.0284,0.1227,0.0154,34287,0.568521843,24211,0.635143571,0.25237627,75458,55100,59436,88400
DeVry College of New York,NY,3,26.67,0,423,0.208,0.3617,0.2553,0.0567,32760,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
Spelman College,GA,3,28.39,0,3098,0.0707,0.848,0,0.0136,38319,0.63064833,25000,0,0.207087486,43781,50700,59993,87400
California Polytechnic State University-San Luis Obispo,CA,3,30.43,0,20976,0.5142,0.007,0.2148,0.1421,18766,0.762199563,18500,0.502962625,0.248062016,74513,74300,90768,112300
Hope International University,CA,3,32.22,0,590,0.3034,0.0847,0.261,0.0441,24286,0.371335505,23000,0.54368932,0.386313466,40565,40700,49697,73700
Inter American University of Puerto Rico-Arecibo,PR,3,33.31,0,2352,0.0009,0,0.9987,0,8621,0.230708035,9000,0.59634425,0.352867309,7423,24539,24539,0
Methodist College,IL,3,33.33,0,433,0.7067,0.1547,0.0277,0.0393,31652,0.568047337,31250,0.895774648,0.347826087,30855,69800,69800,0
DeVry University-Florida,FL,3,33.33,0,281,0.2669,0.3167,0.3167,0.0142,29066,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
DeVry University-Virginia,VA,3,33.33,0,59,0.2034,0.5254,0.0847,0,33657,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
Cox College,MO,3,33.33,0,677,0.8405,0.0118,0.0473,0.0177,28124,0.72246696,20000,0.854545455,0.41031941,38003.5,42700,56867,69900
AdventHealth University,FL,3,33.72,0,917,0.2988,0.1625,0.3588,0.0502,27613,0.430594901,24590,0.825105783,0.390205371,30567,58200,72282,83900
Inter American University of Puerto Rico-Bayamon,PR,3,33.81,0,3730,0.0035,0.0011,0.992,0.0003,9155,0.205923836,8250,0.434991424,0.272658894,12983,29936,29936,0
Central Penn College,PA,3,33.99,0,844,0.4882,0.1943,0.1244,0.0273,12481,0.368024133,23194,0.634259259,0.505882353,28097.5,37700,45370,59100
New Hope Christian College-Eugene,OR,3,34.12,0,37,0.2973,0.027,0.2432,0.1351,15863,0,27000,0.457627119,0,22167,31100,31115,0
Corban University,OR,3,34.77,0,795,0.5912,0.0226,0.1484,0.0277,20565,0.574603175,22625,0.624535316,0.225242718,67205,40200,48917,77300
Dickinson College,PA,3,34.92,0,2083,0.6519,0.0451,0.0744,0.0523,30345,0.870090634,19000,0.571663921,0.12195122,100109,64100,70204,97500
Cleveland Institute of Music,OH,3,36.24,0,194,0.4639,0.0258,0.0773,0.201,25127,0.64516129,24968,0.440677966,0,93006,45200,32641,0
The University of Montana-Western,MT,3,36.31,0,1202,0.7912,0.0116,0.0391,0.0025,14064,0.24205379,21000,0.634300126,0.359673025,42280,36700,43229,63800
University of California-Davis,CA,3,37.34,0,31512,0.2117,0.0175,0.2401,0.3118,15674,0.762075134,13000,0.626724138,0.408311428,33783.5,68100,80838,117500
University of Wisconsin-Milwaukee Flex,WI,3,37.5,0,606,0.7657,0.0561,0.0677,0.0231,21310,0.445422166,23000,0.56415828,0.33047751,50518.5,48200,54990,74700
The New England Conservatory of Music,MA,3,37.55,0,363,0.3912,0.0193,0.0303,0.124,32148,0.777777778,27000,0.423529412,0,90092,41200,34483,68400
San Diego State University,CA,3,39.26,0,31810,0.3478,0.0397,0.3516,0.1337,12721,0.74266448,15000,0.584202042,0.411946193,32530,55900,64909,92000
California State University-Long Beach,CA,3,39.95,0,32780,0.1544,0.0356,0.4995,0.2197,8721,0.717224745,14289,0.590154456,0.486271676,26465,53000,64403,88000
Yeshiva Shaarei Torah of Rockland,NY,3,40,0,141,0.9007,0,0,0,7930,0.473684211,0,0,0,12710,89548,89548,0
Chamberlain University-Michigan,MI,3,40,0,637,0.6374,0.1821,0.0502,0.0706,35711,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
Inter American University of Puerto Rico-San German,PR,3,40.11,0,2699,0.0007,0.0007,0.9974,0.0004,8832,0.311918063,8500,0.521446594,0.357957136,11003.5,25416,25416,0
DeVry University-California,CA,3,40.11,0,1582,0.244,0.146,0.3755,0.1018,31811,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
San Francisco Conservatory of Music,CA,3,41.58,0,221,0.3213,0.0407,0.0995,0.0724,33577,0,27000,0.372881356,0,49656,30800,30800,0
Allen University,SC,3,43.36,0,603,0.0033,0.9303,0.0232,0.0017,13862,0.224576271,34290,0.5,0.50656168,18921,26400,30497,42700
Ave Maria University,FL,3,44.21,0,1230,0.7065,0.0407,0.1276,0.0423,21131,0.559055118,20776,0.483940043,0.176339286,81806,33700,49520,0
Pennsylvania College of Art and Design,PA,3,44.31,0,236,0.7076,0.1271,0.0085,0.0593,25585,0.609195402,27000,0.685185185,0,56987.5,30600,33301,0
Bennett College,NC,3,44.63,0,168,0,0.5536,0.0179,0,20876,0.211180124,28130,0,0.316872428,26482,32700,36654,56000
Inter American University of Puerto Rico-Fajardo,PR,3,44.65,0,1185,0.0034,0.0017,0.9924,0,8956,0.252554745,5750,0.571837026,0.32145749,8816,23132,23132,0
Newschool of Architecture and Design,CA,3,44.95,0,229,0.3493,0.0655,0.3013,0.1004,50126,0.459183673,31000,0.350993378,0.378787879,19871,55100,68891,0
Anderson University,SC,3,45.39,0,2960,0.8402,0.0409,0,0.0179,21675,0.581743869,26700,0.695588235,0.253456221,64915.5,38400,42101,63100
Inter American University of Puerto Rico-Aguadilla,PR,3,45.68,0,2908,0.001,0.0007,0.9976,0,8157,0.209486166,6250,0.540022548,0.428808634,5900,24776,24776,0
University of Pittsburgh-Titusville,PA,3,45.71,0,23,0.9565,0,0,0.0435,15397,0.661782178,24250,0.529968119,0.209672003,81308,61200,66125,95300
Bard College,NY,3,46.08,0,2174,0.4747,0.121,0.1256,0.0308,27474,0.626666667,24254,0.61971831,0.121710526,62890,43700,46543,77000
Inter American University of Puerto Rico-Metro,PR,3,46.78,0,3099,0.0065,0.0061,0.9826,0.0019,9241,0.372529964,10975,0.574260995,0.255374204,13696,30821,30821,0
University of California-Santa Cruz,CA,3,46.92,0,17502,0.318,0.0186,0.2806,0.2321,17601,0.71414791,16666,0.543057997,0.367497508,42014.5,53800,68396,90100
Inter American University of Puerto Rico-Guayama,PR,3,46.96,0,1473,0.0068,0.002,0.9905,0,8884,0.270588235,9500,0.665390505,0.382631126,3990,25827,25827,0
University of Washington-Seattle Campus,WA,3,47.52,0,30931,0.3432,0.036,0.0958,0.2751,13404,0.591303026,14615,0.574635542,0.327274533,39205,69600,78466,110400
Hussian College-Los Angeles,CA,3,47.67,0,262,0.5267,0.1031,0.2137,0.0305,47900,0.278985507,18446,0.625954199,0.198275862,55207,36800,28806,0
Bay State College,MA,3,47.71,0,223,0.4574,0.2466,0.148,0.0493,41133,0.391691395,25813,0.710691824,0.462427746,26886,34000,45230,61300
CUNY Hunter College,NY,3,47.86,0,16549,0.1869,0.1082,0.3121,0.3061,3296,0.463970812,11000,0.671951618,0.469446738,22326,51800,63163,87300
Chicago State University,IL,3,48.51,0,1364,0.022,0.75,0.0689,0.0088,6916,0.249142857,30625,0.703819174,0.420245399,15134,38200,42778,70700
Webber International University,FL,3,48.97,0,1093,0.398,0.3266,0.0833,0.0073,28206,0.294117647,25250,0.34619883,0.366834171,39516,40100,45606,69700
College for Creative Studies,MI,3,49.2,0,1317,0.5657,0.1238,0.0509,0.0509,33834,0.526315789,26000,0.565743945,0.228360958,61518.5,50700,44860,84800
Tougaloo College,MS,3,49.31,0,541,0.0055,0.878,0.024,0,15820,0.195238095,30046,0.636363636,0.297820823,19454.5,32400,34724,61500
CUNY Bernard M Baruch College,NY,3,49.53,0,15554,0.178,0.0923,0.2675,0.36,3644,0.626541207,11512,0.514732303,0.510776362,20824.5,63600,75971,105400
Chamberlain University-Virginia,VA,3,50,0,663,0.1192,0.5354,0.1976,0.0995,34573,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
Chamberlain University-North Carolina,NC,3,50,0,268,0.3396,0.4515,0.1194,0.0299,33562,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
DeVry University-Georgia,GA,3,50,0,508,0.1969,0.6102,0.061,0.0098,29394,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
DeVry University-Ohio,OH,3,50,0,218,0.5963,0.2523,0.0275,0.0275,26562,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
Davis College,NY,3,50,0,103,0.6699,0.0971,0.0777,0.0097,14276,0.442622951,0,0.457627119,0.27184466,30075.5,33400,38450,60400
Messenger College,TX,3,50,0,19,0.5789,0.0526,0.2632,0,18363,0,0,0.344262295,0,28400,23900,29463,0
Brescia University,KY,3,50.36,0,551,0.6534,0.1071,0.0617,0.0254,16787,0.41503268,29430,0.740994854,0.45210728,34373,48000,45500,65700
CUNY John Jay College of Criminal Justice,NY,3,50.66,0,11726,0.1409,0.1623,0.5019,0.1255,3780,0.520700101,11000,0.609853068,0.484925789,19475,50000,56195,95600
Newman University,KS,3,51.03,0,883,0.5051,0.0396,0.265,0.0487,18556,0.596091205,20801,0.726126126,0.394,42909,47900,55041,76100
Washington Adventist University,MD,3,51.43,0,499,0.0441,0.4589,0.2665,0.0301,17410,0.397058824,30500,0.720930233,0.351851852,34060.5,46300,64249,98700
Paine College,GA,3,51.51,0,299,0.01,0.806,0.0368,0,13486,0.06626506,0,0.55483871,0.378571429,21579,29700,33338,56000
University of Puerto Rico-Rio Piedras,PR,3,51.59,0,9112,0.0007,0.0551,0.8467,0.0002,9119,0.332532051,5500,0.618448637,0.15583239,19937.5,35723,35723,0
Beacon College,FL,3,51.92,0,469,0.6759,0.1279,0.0874,0.0448,36668,0.618421053,25000,0.465753425,0.191176471,44260.5,29420,29420,0
Carolina University,NC,3,52.02,0,350,0.4343,0.1629,0.1514,0.0086,16706,0.43902439,20287,0.483870968,0.326633166,32421,36600,32864,58300
University of Puerto Rico-Humacao,PR,3,52.05,0,2591,0.0004,0.0394,0.8869,0,13098,0.408405172,5500,0.655567686,0.222696766,18717,29521,29521,0
University of San Diego,CA,3,52.61,0,5569,0.4692,0.0388,0.2433,0.0754,29725,0.785326087,22940,0.57300885,0.248623131,70085,71100,86522,113700
Barclay College,KS,3,52.68,0,152,0.5066,0.1776,0.2105,0.0066,30123,0.5,27000,0.444444444,0.403100775,37489.5,32500,36355,0
Inter American University of Puerto Rico-Ponce,PR,3,52.75,0,2752,0.0022,0.0011,0.996,0,8552,0.28248974,6375,0.582067322,0.337938005,11802,26721,26721,0
Hussian College-Daymar College Clarksville,TN,3,53.32,0,371,0.3127,0.2857,0.0836,0.0243,28289,0.278985507,18446,0.625954199,0.198275862,55207,36800,28806,0
University of Puerto Rico at Ponce,PR,3,54.04,0,2123,0,0,1,0,5006,0.323284823,5500,0.565099946,0.214285714,17959,31394,31394,0
The Chicago School of Professional Psychology at Los Angeles,CA,3,54.05,0,284,0.4331,0.1937,0.2183,0.007,39401,0.456349206,20000,0.832512315,0.464285714,18495,56899,56899,0
Berklee College of Music,MA,3,54.23,0,7395,0.4057,0.0596,0.1187,0.0565,49230,0.442442442,25000,0.360867321,0.212336245,50454,38300,33647,70900
University of Puerto Rico-Mayaguez,PR,3,54.35,0,9999,0,0,0.9302,0,10658,0.30893186,8250,0.473985561,0.170168067,20875,48992,48992,0
CUNY Brooklyn College,NY,3,54.54,0,10785,0.2503,0.1931,0.2382,0.2507,3700,0.485930408,11000,0.588327581,0.476190476,19956.5,48800,60752,87900
Manhattan School of Music,NY,3,55.01,0,503,0.3499,0.0616,0.1093,0.0775,51067,0.538461538,26994,0.453846154,0,87262.5,40700,26878,0
Ecclesia College,AR,3,55.1,0,151,0.4768,0.1325,0.2119,0.0066,20397,0.206521739,13019,0.375586855,0.474226804,29535,40650,40650,0
Universidad del Sagrado Corazon,PR,3,55.23,0,3675,0.0011,0.0005,0.9976,0,13656,0.46353167,16250,0.611288605,0.277239709,17795,23400,31754,46100
CUNY Lehman College,NY,3,55.31,0,10485,0.0453,0.257,0.5779,0.0711,4034,0.536134454,10950,0.71029969,0.519319563,17797,47500,58013,82800
California State Polytechnic University-Pomona,CA,3,55.38,0,25080,0.1364,0.0265,0.531,0.2263,11902,0.625288536,16000,0.494709646,0.492781664,29032,58000,71902,96700
Clarkson College,NE,3,56.06,0,631,0.6704,0.0808,0.0634,0.0412,16691,0.665158371,23716,0.864559819,0.333333333,45418,52900,64876,71800
Nossi College of Art,TN,3,56.73,0,298,0.6443,0.2315,0.0604,0.0235,24043,0.237623762,33498,0.607476636,0.395721925,23893,29700,35113,51700
The New School,NY,3,57.18,0,7136,0.3339,0.0376,0.1037,0.1121,49086,0.60707457,22266,0.753630203,0.194401244,42578.5,55200,52901,92600
University of Minnesota-Crookston,MN,3,57.22,0,1489,0.7354,0.0578,0.0551,0.0383,10317,0.459302326,20500,0.489685125,0.290398127,51028,49100,58056,76000
Paul Quinn College,TX,3,57.28,0,938,0.226,0.4787,0.0906,0.0139,8867,0,23373,0.56448203,0.484693878,18000,29800,29288,53500
Worcester Polytechnic Institute,MA,3,57.48,0,5146,0.6459,0.0278,0.0876,0.1193,44100,0.827445652,27000,0.364922207,0.13377193,114021,84600,103470,117100
Olivet Nazarene University,IL,3,57.8,0,2460,0.6427,0.0951,0.1244,0.0248,20564,0.526315789,25000,0.625714286,0.276839566,66010.5,44000,53213,73500
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,3,57.89,0,31,0.7742,0.0323,0.0323,0.0645,29312,0.611111111,21500,0.296296296,0,71319,51724,51724,0
Five Towns College,NY,3,58.29,0,472,0.4153,0.1716,0.3051,0.0106,17810,0.466321244,21500,0.286885246,0.317073171,41769.5,40100,35887,68800
Kansas City Art Institute,MO,3,58.48,0,735,0.6177,0.0816,0.1469,0.0449,28444,0.607734807,27000,0.733893557,0.209876543,54983,33200,37032,48400
Saint Augustine's University,NC,3,58.85,0,937,0.0149,0.9541,0.0032,0.0043,19777,0.206349206,29669,0.435483871,0.345368917,22161.5,30000,35730,57500
Yeshiva Toras Chaim,NJ,3,59,0,213,0.8638,0,0,0,5737,0,0,0,0,30463,62526,62526,0
LaGrange College,GA,3,59.12,0,597,0.5745,0.263,0.0402,0.0084,20507,0.411411411,25730,0.432387312,0.254512635,53444,45700,51745,70500
CUNY York College,NY,3,59.14,0,4822,0.0506,0.3735,0.2621,0.2202,5568,0.353462604,11000,0.692650997,0.495918367,19735,45300,56945,71800
Barry University,FL,3,59.63,0,2539,0.1225,0.3777,0.3734,0.013,19664,0.467880086,26997,0.673622258,0.43556701,28822,50900,55966,93200
SUNY Cortland,NY,3,59.78,0,5980,0.7488,0.0482,0.1276,0.0139,19535,0.604703247,21500,0.540355251,0.270909697,72219,49200,60236,77500
Lyon College,AR,3,59.84,0,489,0.5112,0.0613,0.0327,0.0123,25183,0.082474227,21500,0.432506887,0.3,51394,44800,44232,71300
University of Montevallo,AL,3,59.84,0,2128,0.6584,0.1706,0.071,0.0038,17174,0.39122807,24000,0.682758621,0.325237592,43813,36100,42957,62300
University of Puerto Rico-Arecibo,PR,3,60.04,0,2855,0,0,1,0,9455,0.3619818,4500,0.595788392,0.224235561,16175,30512,30512,0
College of the Atlantic,ME,3,60.08,0,372,0.6317,0.0054,0.0618,0.0242,22799,0.526315789,25050,0.782608696,0,57786,27800,40264,0
Lourdes University,OH,3,60.44,0,749,0.741,0.1642,0.0307,0.012,23122,0.514814815,27000,0.612781955,0.33604888,45241.5,41300,48150,73800
King University,TN,3,60.8,0,1065,0.8188,0.0592,0.0085,0.0131,23048,0.530546624,22750,0.666267226,0.510805501,35279,50300,59831,91100
Southeastern University,FL,3,60.86,0,4931,0.5682,0.1126,0.2204,0.0152,27929,0.430031447,21500,0.558713538,0.345852249,39372,37900,46744,62600
Shaw University,NC,3,61.03,0,918,0.0316,0.6492,0.0076,0.0131,15017,0.176029963,32500,0.564879565,0.400547445,21406,30500,34409,54900
Lees-McRae College,NC,3,61.34,0,854,0.7412,0.0691,0.0703,0.0129,22577,0.535911602,17375,0.66720517,0.401384083,42683,34400,43415,63000
William Woods University,MO,3,61.47,0,754,0.6989,0.0544,0.0557,0.0119,23531,0.54,21983,0.731462926,0.29787234,52479,40300,42401,65500
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,3,61.48,0,142,0.9718,0,0,0,11802,0.317073171,0,0,0,40088,48361,48361,0
Quincy University,IL,3,61.7,0,1027,0.7118,0.1061,0.0652,0.0117,17979,0.325966851,24000,0.53869969,0.330049261,50859,46000,50369,73200
Menlo College,CA,3,61.72,0,786,0.1692,0.0356,0.3104,0.0878,27328,0.540697674,21750,0.509493671,0.400684932,49601,59700,76419,115800
Reinhardt University,GA,3,62.33,0,1014,0.5562,0.214,0.0858,0.0099,26098,0.343137255,23900,0.42791762,0.365456821,41738,40500,46541,65500
Woodbury University,CA,3,62.6,0,868,0.3652,0.0426,0.3341,0.1256,30252,0.471428571,26960,0.568783069,0.409785933,32542.5,52100,65668,90100
University of Alaska Southeast,AK,3,62.66,0,964,0.5498,0.0073,0.0882,0.0602,7056,0.189591078,19111,0.697855751,0.395143488,34718,39500,48475,74300
Emmanuel College,GA,3,62.66,0,730,0.5986,0.1342,0.0699,0.0055,20814,0.364661654,24325,0.45194274,0.35619469,46336,35400,38208,60000
Northeastern Illinois University,IL,3,62.7,0,4058,0.2213,0.1195,0.4133,0.0986,13209,0.425404434,14600,0.605946792,0.508688784,21900,41900,52234,72000
Goldey-Beacom College,DE,3,62.72,0,617,0.3793,0.2253,0.1588,0.013,19276,0.522580645,18900,0.587020649,0.42172524,37011,48800,59892,83300
Bluefield University,VA,3,63.01,0,615,0.5691,0.2049,0.0423,0.0033,22701,0.397435897,21855,0.566009105,0.425041186,38217,46000,48896,87100
Eastern University,PA,3,63.23,0,1692,0.4303,0.2677,0.1401,0.0201,25144,0.542808219,25000,0.706827309,0.364915572,36522,48100,51655,90800
Mid-Atlantic Christian University,NC,3,63.33,0,125,0.576,0.208,0.088,0.008,21247,0.405405405,27000,0.551470588,0.35042735,34565.5,33000,38342,0
Milwaukee School of Engineering,WI,3,63.47,0,2562,0.6913,0.0254,0.0921,0.0574,22441,0.569892473,27000,0.292797007,0.235988201,68352,71100,89070,103000
Gods Bible School and College,OH,3,63.79,0,268,0.7127,0.056,0.0448,0.0075,8039,0.241935484,4522,0.554545455,0.35,36501,24800,37722,0
Milwaukee Institute of Art & Design,WI,3,63.97,0,895,0.6492,0.0469,0.1709,0.0503,24944,0.502512563,27000,0.653439153,0.300578035,48419,37500,41174,66200
Capitol Technology University,MD,3,64.34,0,296,0.2872,0.2331,0.0507,0.0676,24240,0.426086957,20264,0.152838428,0.356097561,41100,68100,85035,103800
Blackburn College,IL,3,64.37,0,342,0.807,0.0702,0.0789,0.0029,23763,0.424107143,24242,0.560386473,0.43956044,29508.5,41700,46802,71600
Stillman College,AL,3,64.54,0,727,0.0275,0.9519,0.0069,0.0028,16085,0.146496815,29067,0.461005199,0.410505837,19890,33700,35421,51500
Alma College,MI,3,64.65,0,1222,0.8118,0.0393,0.0442,0.0106,23074,0.457142857,27000,0.553468208,0.241071429,70073,46500,54742,89700
University of Silicon Valley,CA,3,64.66,0,373,0.2735,0.0912,0.2279,0.2011,29887,0.364864865,31000,0.342465753,0.279069767,35952,60400,51017,0
Indiana Institute of Technology,IN,3,64.66,0,1341,0.3684,0.1014,0.0336,0.0112,21392,0.099727706,26391,0.661044703,0.53301495,14380,49400,47327,82000
Ringling College of Art and Design,FL,3,64.7,0,1704,0.439,0.0323,0.142,0.0986,54319,0.730337079,27000,0.683712121,0.168316832,51310,43100,43325,92400
Platt College-Aurora,CO,3,64.71,0,232,0.5431,0.0733,0.2716,0.056,40684,0.734939759,42125,0.840490798,0,30000,31900,77602,66400
St. Andrews University,NC,3,64.8,0,780,0.2756,0.1756,0.0974,0.0167,31317,0.294117647,25250,0.34619883,0.366834171,39516,40100,45606,69700
Madonna University,MI,3,64.84,0,1693,0.6302,0.111,0.0467,0.0278,17921,0.541108987,23000,0.687229437,0.417675545,30676.5,44400,59058,72200
Bethany College,WV,3,64.92,0,594,0.5354,0.1515,0.064,0.0017,12855,0.355555556,27000,0.292191436,0.338797814,50433,44200,44512,81200
New York School of Interior Design,NY,3,65.09,0,451,0.5809,0.0488,0.1397,0.0466,43061,0,0,0.842857143,0.363636364,31419,53300,48041,0
St. Thomas University,FL,3,65.15,0,1896,0.1197,0.3312,0.3497,0.0026,28125,0.410714286,19125,0.542574257,0.412735849,26170,60500,54272,90000
Clarks Summit University,PA,3,65.2,0,376,0.8005,0.0399,0.0798,0.0133,15980,0.438202247,18034,0.47318612,0.271812081,41253,35200,38818,61500
University of Alaska Anchorage,AK,3,65.32,0,6778,0.4923,0.036,0.1146,0.0937,10978,0.174219094,20210,0.598769988,0.389193875,33525,51200,51871,84200
Metropolitan College of New York,NY,3,65.49,0,372,0.0457,0.5833,0.2984,0.0134,22883,0.29022082,27688,0.788571429,0.4958159,14836.5,40100,46236,75800
Sacred Heart University,CT,3,65.71,0,6729,0.7655,0.0367,0.1233,0.0152,44554,0.587268994,25000,0.66259058,0.22906641,106612,61800,75059,96600
Cumberland University,TN,3,66.21,0,1934,0.5243,0.107,0.0662,0.014,19184,0.594520548,17952,0.579415502,0.408219178,41840,43000,57687,67300
Manchester University,IN,3,66.39,0,914,0.605,0.081,0.0853,0.0077,17694,0.503896104,26854,0.536684783,0.336690648,63382.5,43600,51504,67400
Albion College,MI,3,66.52,0,1445,0.5599,0.1654,0.1204,0.0152,17331,0.604774536,27000,0.495762712,0.279761905,54587.5,55700,58799,89400
Finlandia University,MI,3,66.57,0,386,0.5881,0.1036,0.1166,0.0104,22105,0.253393665,23500,0.421875,0.365439094,39797.5,38700,39864,58300
Crown College,MN,3,66.59,0,757,0.7147,0.0674,0.0885,0.0396,24871,0.490774908,22500,0.521472393,0.265625,50787,40100,48057,63100
CUNY City College,NY,3,66.6,0,11481,0.12,0.1533,0.39,0.2553,3434,0.45388601,11990,0.537749288,0.459653179,20074,50900,66039,92600
Talmudical Academy-New Jersey,NJ,3,66.67,0,73,0.9452,0,0,0,3691,0,0,0,0,26512.5,40344,40344,0
California State University-Fullerton,CA,3,66.72,0,35249,0.155,0.0216,0.5231,0.2224,7485,0.662209529,13750,0.598007937,0.494455253,28124,51800,62951,88000
Wesleyan College,GA,3,66.8,0,510,0.3765,0.3824,0.1118,0.0098,13631,0.474820144,24094,0,0.3515625,30956,37600,44317,67300
Bushnell University,OR,3,66.85,0,502,0.759,0.0418,0.0299,0.0398,24835,0.567839196,23500,0.63559322,0.347692308,45289.5,45700,53623,85100
Johnson & Wales University-Online,RI,3,67.5,0,1838,0.4516,0.2339,0.1725,0.031,20242,0.512580877,26000,0.635339712,0.346414073,41456,42200,43418,68100
Cleary University,MI,3,67.53,0,716,0.2179,0.0293,0.0237,0.0056,32459,0.519736842,19500,0.611940299,0.422924901,46773.5,59500,54186,101200
Bryan College of Health Sciences,NE,3,67.57,0,535,0.7701,0.0206,0.0299,0.0206,31318,0.725806452,24985,0.920502092,0,64630,53500,70845,82900
East Texas Baptist University,TX,3,67.7,0,1324,0.6254,0.1828,0.1156,0.0113,21831,0.330900243,23250,0.471980075,0.318242344,48655,43600,52788,76600
University of Charleston,WV,3,67.73,0,2330,0.6901,0.0918,0.0597,0.0215,21383,0.512987013,19500,0.587006961,0.431273644,44569.5,46800,55774,71500
Inter American University of Puerto Rico-Barranquitas,PR,3,67.77,0,996,0,0.001,0.998,0,7857,0.28548124,5200,0.561823802,0.505813954,0,23204,23204,0
Evangel University,MO,3,67.91,0,1246,0.7512,0.049,0.0706,0.0104,20848,0.512658228,24736,0.550573514,0.261057174,53228,40900,46573,65700
Northwest College of Art & Design,WA,3,67.94,0,119,0.5882,0.0504,0.1513,0.084,18551,0.448275862,30750,0.634920635,0,49729,32200,31167,0
University of Puerto Rico-Utuado,PR,3,68.04,0,344,0,0.0523,0.7791,0,13168,0.198458574,3500,0.51212938,0.272365805,13787,23906,23906,0
Oakwood University,AL,3,68.05,0,1378,0.0094,0.7438,0.0943,0.0007,19686,0.232911392,27000,0.586080586,0.17623498,36829,37400,42488,75600
Montreat College,NC,3,68.06,0,816,0.5429,0.1042,0.0343,0.0098,25023,0.26446281,25813,0.494646681,0.303370787,43222,42500,45151,90100
McKendree University,IL,3,68.35,0,1528,0.5641,0.1086,0.0596,0.0026,22431,0.468123862,23250,0.542563143,0.325581395,49041,50200,58572,77100
Chamberlain University-Georgia,GA,3,68.42,0,1420,0.1775,0.6275,0.0923,0.0535,31380,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
North Carolina Wesleyan University,NC,3,68.43,0,1204,0.2691,0.3978,0.0282,0.0033,17801,0.445997459,25000,0.605680317,0.467706013,24995,41900,45873,71900
University of California-Riverside,CA,3,68.69,0,22842,0.1087,0.032,0.39,0.3673,14306,0.69415219,17500,0.576886903,0.483469907,35809,55300,67699,92800
Pacific Islands University,GU,3,68.89,0,68,0.1029,0.0441,0.1029,0.0147,6731,0,0,0.53030303,0.391304348,0,20902,20902,0
Hampshire College,MA,3,68.9,0,505,0.5663,0.0733,0.1465,0.0158,21835,0.633333333,26893,0.667808219,0.139037433,60321.5,39900,46938,70600
