School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
East-West University,IL,3,100,0,529,0.0208,0.3743,0.3667,0.0076,20438,0.113122172,26986,0.52293578,0.539393939,14812,29000,29963,50400
Montserrat College of Art,MA,3,100,0,291,0.5326,0.0344,0.1237,0.0241,32988,0.608695652,27000,0.724867725,0.327586207,52409,28800,33022,50700
Martin University,IN,3,100,0,161,0.0311,0.9193,0.0062,0,15457,0.2,42002,0.697674419,0.534161491,11230,28600,22544,49700
Texas College,TX,3,100,0,642,0.0171,0.8769,0.0748,0.0016,11174,0.196832579,31000,0.327796235,0.451108214,18562,28000,33752,49700
Jarvis Christian University,TX,3,100,0,729,0.0178,0.5501,0.177,0,9506,0.213186813,27000,0.51627907,0.459644323,18887.5,27500,32992,49600
Lane College,TN,3,100,0,1010,0.0158,0.7792,0.0178,0,13779,0.208538588,30500,0.429816914,0.448387097,17096,27500,31670,50600
Philander Smith College,AR,3,100,0,766,0.0065,0.8473,0.0131,0,17637,0.258426966,24736,0.623243934,0.430340557,18743,27300,38427,57200
Voorhees University,SC,3,100,0,473,0.0021,0.9302,0,0,14407,0.292857143,26700,0.512121212,0.391143911,17446,26100,35339,55900
United Talmudical Seminary,NY,3,100,0,2104,0.9539,0,0.001,0,9690,0.552894212,0,0,0,16516.5,26100,25113,43500
Morris College,SC,3,100,0,384,0.0104,0.9297,0.0234,0,18671,0.22875817,31400,0.548760331,0.4,18311,25600,30614,46200
Atlantic University College,PR,3,100,0,1577,0,0,1,0,6133,0.304347826,5457,0.265486726,0.153012048,14493,25600,25272,39500
American University of Puerto Rico,PR,3,100,0,196,0,0,1,0,9738,0.171149144,5750,0.555323591,0.408291457,6074,24200,24470,41300
American University of Puerto Rico,PR,3,100,0,200,0,0,1,0,10344,0.171149144,5750,0.555323591,0.408291457,6074,24200,24470,41300
Universidad Ana G. Mendez-Gurabo Campus,PR,3,100,0,7923,0,0,1,0,6479,0.286853552,13448,0.579454058,0.3655706,10530,24000,26223,41900
Talladega College,AL,3,100,0,832,0.0144,0.8389,0.0481,0,13128,0.163398693,28500,0.489754098,0.398058252,18810,23900,32229,53300
Universidad Pentecostal Mizpa,PR,3,100,0,110,0,0,1,0,5475,0.263157895,0,0.446666667,0.56,11435,22800,21410,0
Universidad Ana G. Mendez-Cupey Campus,PR,3,100,0,4780,0,0,1,0,7203,0.319727891,14250,0.62137931,0.428249176,6993,22700,24490,43100
