School Name,Type,Major,Description,1 Year,4 Years,5 Years
Kutztown University of Pennsylvania,Public,Writing Studies,Bachelor's Degree,26242,42826,48905
University of New Mexico-Main Campus,Public,Writing Studies,Bachelor's Degree,33999,44399,48122
University of Nebraska at Kearney,Public,Writing Studies,Bachelor's Degree,35726,43382,47989
University of Arizona,Public,Writing Studies,Bachelor's Degree,26715,39867,47986
University of Illinois Urbana-Champaign,Public,Writing Studies,Bachelor's Degree,24225,33844,47544
Weber State University,Public,Writing Studies,Bachelor's Degree,36205,40671,46871
University of Colorado Denver/Anschutz Medical Campus,Public,Writing Studies,Bachelor's Degree,34339,43867,46400
Ferris State University,Public,Writing Studies,Bachelor's Degree,23508,36336,45012
Taylor University,"Private, nonprofit",Writing Studies,Bachelor's Degree,25471,34915,44149
Susquehanna University,"Private, nonprofit",Writing Studies,Bachelor's Degree,19753,32492,43685
California State University-Long Beach,Public,Writing Studies,Bachelor's Degree,21854,37017,43603
Georgia Southern University,Public,Writing Studies,Bachelor's Degree,31447,40745,43489
San Francisco State University,Public,Writing Studies,Bachelor's Degree,32431,40620,43400
Purdue University-Main Campus,Public,Writing Studies,Bachelor's Degree,25084,37400,43184
State University of New York at Oswego,Public,Writing Studies,Bachelor's Degree,28103,30873,42680
University of Washington-Seattle Campus,Public,Writing Studies,Bachelor's Degree,29758,33995,42372
University of Washington-Tacoma Campus,Public,Writing Studies,Bachelor's Degree,29758,33995,42372
Champlain College,"Private, nonprofit",Writing Studies,Bachelor's Degree,23237,36401,42016
University of North Carolina Wilmington,Public,Writing Studies,Bachelor's Degree,24205,40400,40978
Hamline University,"Private, nonprofit",Writing Studies,Bachelor's Degree,20059,31210,40394
Southern New Hampshire University,"Private, nonprofit",Writing Studies,Bachelor's Degree,30077,35776,39888
Columbia College Chicago,"Private, nonprofit",Writing Studies,Bachelor's Degree,25060,30733,39240
Youngstown State University,Public,Writing Studies,Bachelor's Degree,31763,38515,39088
Stephen F Austin State University,Public,Writing Studies,Bachelor's Degree,25292,27942,39004
Grand Valley State University,Public,Writing Studies,Bachelor's Degree,31016,35370,38930
Saginaw Valley State University,Public,Writing Studies,Bachelor's Degree,23298,35518,38608
