School Name,Type,Major,Description,1 Year,4 Years,5 Years
Adelphi University,"Private, nonprofit",Nursing,Bachelor's Degree,102136,104953,114243
University of Pennsylvania,"Private, nonprofit",Nursing,Bachelor's Degree,80943,96143,114013
Vanguard University of Southern California,"Private, nonprofit",Nursing,Bachelor's Degree,102915,99193,113933
California State University-Long Beach,Public,Nursing,Bachelor's Degree,100178,106552,113863
Concordia College,"Private, nonprofit",Nursing,Bachelor's Degree,108781,99647,113579
New York Institute of Technology,"Private, nonprofit",Nursing,Bachelor's Degree,88844,103053,113343
California State University-Fresno,Public,Nursing,Bachelor's Degree,96890,97606,113245
Pace University,"Private, nonprofit",Nursing,Bachelor's Degree,107433,105016,113091
Molloy College,"Private, nonprofit",Nursing,Bachelor's Degree,105747,101659,113004
Alliance University,"Private, nonprofit",Nursing,Bachelor's Degree,93454,104703,112936
University of Hawaii at Manoa,Public,Nursing,Bachelor's Degree,94216,99132,112211
Farmingdale State College,Public,Nursing,Bachelor's Degree,103508,111965,112031
Hawaii Pacific University,"Private, nonprofit",Nursing,Bachelor's Degree,75892,96048,111432
California State University-Channel Islands,Public,Nursing,Bachelor's Degree,103484,96313,111071
Felician University,"Private, nonprofit",Nursing,Bachelor's Degree,95990,94608,111022
Dominican University New York,"Private, nonprofit",Nursing,Bachelor's Degree,93690,102295,110771
CUNY New York City College of Technology,Public,Nursing,Bachelor's Degree,103611,107092,110738
West Coast University-Dallas,"Private, for-profit",Nursing,Bachelor's Degree,95859,98869,110377
West Coast University-Los Angeles,"Private, for-profit",Nursing,Bachelor's Degree,95859,98869,110377
West Coast University-Miami,"Private, for-profit",Nursing,Bachelor's Degree,95859,98869,110377
West Coast University-Ontario,"Private, for-profit",Nursing,Bachelor's Degree,95859,98869,110377
West Coast University-Orange County,"Private, for-profit",Nursing,Bachelor's Degree,95859,98869,110377
Simpson University,"Private, nonprofit",Nursing,Bachelor's Degree,102613,100333,109928
Concordia University-Irvine,"Private, nonprofit",Nursing,Bachelor's Degree,102324,93129,109911
San Diego State University,Public,Nursing,Bachelor's Degree,100221,96266,109894
Loma Linda University,"Private, nonprofit",Nursing,Bachelor's Degree,98610,99294,109875
University of Phoenix-Arizona,"Private, for-profit",Nursing,Bachelor's Degree,98826,99385,109867
University of Phoenix-California,"Private, for-profit",Nursing,Bachelor's Degree,98826,99385,109867
University of Phoenix-Hawaii,"Private, for-profit",Nursing,Bachelor's Degree,98826,99385,109867
California State University-San Bernardino,Public,Nursing,Bachelor's Degree,93142,99072,109558
Broward College,Public,Nursing,Bachelor's Degree,79135,94497,108972
Point Loma Nazarene University,"Private, nonprofit",Nursing,Bachelor's Degree,97296,100394,108557
Albany State University,Public,Nursing,Bachelor's Degree,77491,87762,108162
National University,"Private, nonprofit",Nursing,Bachelor's Degree,99714,97661,108119
SUNY College of Technology at Canton,Public,Nursing,Bachelor's Degree,81256,99773,107959
University of Hartford,"Private, nonprofit",Nursing,Bachelor's Degree,106348,98736,107755
New Mexico Highlands University,Public,Nursing,Bachelor's Degree,88137,86042,107510
Mount Saint Mary College,"Private, nonprofit",Nursing,Bachelor's Degree,95495,99380,107453
Governors State University,Public,Nursing,Bachelor's Degree,80391,97713,107166
Brenau University,"Private, nonprofit",Nursing,Bachelor's Degree,80786,78785,106944
Chaminade University of Honolulu,"Private, nonprofit",Nursing,Bachelor's Degree,81125,93262,106859
Stony Brook University,Public,Nursing,Bachelor's Degree,94853,95054,106785
California State University-San Marcos,Public,Nursing,Bachelor's Degree,103799,94706,105792
Howard University,"Private, nonprofit",Nursing,Bachelor's Degree,79646,79113,105029
Kean University,Public,Nursing,Bachelor's Degree,101039,94150,104865
SUNY College of Technology at Delhi,Public,Nursing,Bachelor's Degree,89749,97774,104855
Joyce University of Nursing and Health Sciences,"Private, for-profit",Nursing,Bachelor's Degree,74693,83350,104711
Linfield University,"Private, nonprofit",Nursing,Bachelor's Degree,95604,93617,104701
Linfield University-Online and Continuing Education,"Private, nonprofit",Nursing,Bachelor's Degree,95604,93617,104701
Linfield University-School of Nursing,"Private, nonprofit",Nursing,Bachelor's Degree,95604,93617,104701
Saint Elizabeth University,"Private, nonprofit",Nursing,Bachelor's Degree,100007,96309,103983
University of Portland,"Private, nonprofit",Nursing,Bachelor's Degree,94291,91757,103904
Bowie State University,Public,Nursing,Bachelor's Degree,70278,79223,103809
Empire State University,Public,Nursing,Bachelor's Degree,94830,103646,103577
Great Basin College,Public,Nursing,Bachelor's Degree,70512,81441,103512
Eastern New Mexico University-Main Campus,Public,Nursing,Bachelor's Degree,83465,88643,103079
Excelsior University,"Private, nonprofit",Nursing,Bachelor's Degree,93104,88376,102648
Oregon Health & Science University,Public,Nursing,Bachelor's Degree,92371,89905,102494
American Sentinel College of Nursing and Health Sciences,"Private, for-profit",Nursing,Bachelor's Degree,86362,89427,102473
Ramapo College of New Jersey,Public,Nursing,Bachelor's Degree,95153,90432,101973
California Baptist University,"Private, nonprofit",Nursing,Bachelor's Degree,92441,91155,101705
Goodwin University,"Private, nonprofit",Nursing,Bachelor's Degree,89747,88131,101664
Saint Peter's University,"Private, nonprofit",Nursing,Bachelor's Degree,88259,86630,101499
Concordia University-Portland,"Private, nonprofit",Nursing,Bachelor's Degree,92967,92705,101386
Bloomfield College,"Private, nonprofit",Nursing,Bachelor's Degree,93291,86260,101148
Sacred Heart University,"Private, nonprofit",Nursing,Bachelor's Degree,90830,87679,101121
Saint Mary's University of Minnesota,"Private, nonprofit",Nursing,Bachelor's Degree,84323,104496,101087
New Jersey City University,Public,Nursing,Bachelor's Degree,90730,92118,101035
Frostburg State University,Public,Nursing,Bachelor's Degree,82617,82068,100973
University of Maryland Global Campus,Public,Nursing,Bachelor's Degree,92323,81793,100807
Roseman University of Health Sciences,"Private, nonprofit",Nursing,Bachelor's Degree,85166,86451,100663
Nevada State College,Public,Nursing,Bachelor's Degree,85585,85115,100298
Caldwell University,"Private, nonprofit",Nursing,Bachelor's Degree,88550,85900,100169
Fairfield University,"Private, nonprofit",Nursing,Bachelor's Degree,91418,89845,100140
Grand Canyon University,"Private, for-profit",Nursing,Bachelor's Degree,92781,88666,100075
Fairleigh Dickinson University-Florham Campus,"Private, nonprofit",Nursing,Bachelor's Degree,91523,94288,100017
Fairleigh Dickinson University-Metropolitan Campus,"Private, nonprofit",Nursing,Bachelor's Degree,91523,94288,100017
Northeastern State University,Public,Nursing,Bachelor's Degree,80792,81547,99835
Thomas Edison State University,Public,Nursing,Bachelor's Degree,95053,92693,99603
Keuka College,"Private, nonprofit",Nursing,Bachelor's Degree,86649,90650,99430
Alcorn State University,Public,Nursing,Bachelor's Degree,85255,72321,99360
Keiser University-Ft Lauderdale,"Private, nonprofit",Nursing,Bachelor's Degree,77345,87813,99079
University of Washington-Bothell Campus,Public,Nursing,Bachelor's Degree,86212,84469,99042
University of Washington-Seattle Campus,Public,Nursing,Bachelor's Degree,86212,84469,99042
University of Washington-Tacoma Campus,Public,Nursing,Bachelor's Degree,86212,84469,99042
Quinnipiac University,"Private, nonprofit",Nursing,Bachelor's Degree,84856,87407,98844
Western Washington University,Public,Nursing,Bachelor's Degree,80808,87295,98502
The College of New Jersey,Public,Nursing,Bachelor's Degree,85986,84646,98401
George Fox University,"Private, nonprofit",Nursing,Bachelor's Degree,89201,87458,98392
Immaculata University,"Private, nonprofit",Nursing,Bachelor's Degree,87624,91952,98289
Coppin State University,Public,Nursing,Bachelor's Degree,76661,80803,98251
Stockton University,Public,Nursing,Bachelor's Degree,81885,85398,98203
Thomas Jefferson University,"Private, nonprofit",Nursing,Bachelor's Degree,85656,86217,98011
Gwynedd Mercy University,"Private, nonprofit",Nursing,Bachelor's Degree,82372,83996,97882
The University of Texas at Arlington,Public,Nursing,Bachelor's Degree,85513,83895,97855
Western Governors University,"Private, nonprofit",Nursing,Bachelor's Degree,85861,86143,97743
Trinity Washington University,"Private, nonprofit",Nursing,Bachelor's Degree,79349,92897,97649
Walden University,"Private, for-profit",Nursing,Bachelor's Degree,88877,87923,97647
Prairie View A & M University,Public,Nursing,Bachelor's Degree,83218,84269,97495
Boston College,"Private, nonprofit",Nursing,Bachelor's Degree,78934,83651,97435
Upstate Medical University,Public,Nursing,Bachelor's Degree,77319,84678,97378
Widener University,"Private, nonprofit",Nursing,Bachelor's Degree,83528,83173,97249
Touro University,"Private, nonprofit",Nursing,Bachelor's Degree,85682,104686,97127
Purdue University Global,Public,Nursing,Bachelor's Degree,78468,86084,97094
Florida State College at Jacksonville,Public,Nursing,Bachelor's Degree,77442,79716,96992
CUNY York College,Public,Nursing,Bachelor's Degree,113718,101249,96826
Franklin Pierce University,"Private, nonprofit",Nursing,Bachelor's Degree,76016,91236,96768
Capella University,"Private, for-profit",Nursing,Bachelor's Degree,85426,82005,96740
Gonzaga University,"Private, nonprofit",Nursing,Bachelor's Degree,84466,86777,96703
William Paterson University of New Jersey,Public,Nursing,Bachelor's Degree,92257,85837,96443
Seattle Pacific University,"Private, nonprofit",Nursing,Bachelor's Degree,81671,83422,96041
Seton Hall University,"Private, nonprofit",Nursing,Bachelor's Degree,91908,86863,95840
Morgan State University,Public,Nursing,Bachelor's Degree,75641,97259,95640
Regis College,"Private, nonprofit",Nursing,Bachelor's Degree,78481,88335,95500
Saint Martin's University,"Private, nonprofit",Nursing,Bachelor's Degree,94947,80995,95489
Southern New Hampshire University,"Private, nonprofit",Nursing,Bachelor's Degree,85600,83728,95420
Anna Maria College,"Private, nonprofit",Nursing,Bachelor's Degree,75045,82947,95333
Touro University California,"Private, nonprofit",Nursing,Bachelor's Degree,100956,76026,95304
Touro University Nevada,"Private, nonprofit",Nursing,Bachelor's Degree,100956,76026,95304
Holy Family University,"Private, nonprofit",Nursing,Bachelor's Degree,83363,83634,95227
Rowan University,Public,Nursing,Bachelor's Degree,84859,72917,95178
Utica University,"Private, nonprofit",Nursing,Bachelor's Degree,78857,83517,95160
Binghamton University,Public,Nursing,Bachelor's Degree,86404,83593,95143
Drexel University,"Private, nonprofit",Nursing,Bachelor's Degree,85441,84218,95080
Endicott College,"Private, nonprofit",Nursing,Bachelor's Degree,78594,80440,94982
Rasmussen University-Florida,"Private, for-profit",Nursing,Bachelor's Degree,74861,82469,94955
Rasmussen University-Illinois,"Private, for-profit",Nursing,Bachelor's Degree,74861,82469,94955
Rasmussen University-Kansas,"Private, for-profit",Nursing,Bachelor's Degree,74861,82469,94955
Rasmussen University-Minnesota,"Private, for-profit",Nursing,Bachelor's Degree,74861,82469,94955
Rasmussen University-North Dakota,"Private, for-profit",Nursing,Bachelor's Degree,74861,82469,94955
Rasmussen University-Wisconsin,"Private, for-profit",Nursing,Bachelor's Degree,74861,82469,94955
William Carey University,"Private, nonprofit",Nursing,Bachelor's Degree,73469,62497,94936
Oklahoma Wesleyan University,"Private, nonprofit",Nursing,Bachelor's Degree,74090,82732,94733
Chicago State University,Public,Nursing,Bachelor's Degree,63869,81928,94672
Polk State College,Public,Nursing,Bachelor's Degree,81004,79822,94462
Walla Walla University,"Private, nonprofit",Nursing,Bachelor's Degree,90709,85847,94358
Houston Baptist University,"Private, nonprofit",Nursing,Bachelor's Degree,79229,79573,94329
La Salle University,"Private, nonprofit",Nursing,Bachelor's Degree,84400,88296,94231
Wilmington University,"Private, nonprofit",Nursing,Bachelor's Degree,86703,82633,94212
University of Massachusetts-Boston,Public,Nursing,Bachelor's Degree,79672,83134,94210
Lamar University,Public,Nursing,Bachelor's Degree,77946,80368,94100
The University of Tampa,"Private, nonprofit",Nursing,Bachelor's Degree,71478,72179,94082
The Catholic University of America,"Private, nonprofit",Nursing,Bachelor's Degree,81044,79813,94074
University of Nevada-Las Vegas,Public,Nursing,Bachelor's Degree,83327,86618,94072
McKendree University,"Private, nonprofit",Nursing,Bachelor's Degree,73156,82082,94002
University of Hawaii at Hilo,Public,Nursing,Bachelor's Degree,84401,89133,93992
Rutgers University-Camden,Public,Nursing,Bachelor's Degree,87594,86247,93912
Rutgers University-New Brunswick,Public,Nursing,Bachelor's Degree,87594,86247,93912
University of Nevada-Reno,Public,Nursing,Bachelor's Degree,85733,80458,93888
Western Connecticut State University,Public,Nursing,Bachelor's Degree,86600,82388,93863
University of Connecticut,Public,Nursing,Bachelor's Degree,84969,80687,93828
University of Connecticut-Avery Point,Public,Nursing,Bachelor's Degree,84969,80687,93828
University of Connecticut-Hartford Campus,Public,Nursing,Bachelor's Degree,84969,80687,93828
University of Connecticut-Stamford,Public,Nursing,Bachelor's Degree,84969,80687,93828
University of Connecticut-Waterbury Campus,Public,Nursing,Bachelor's Degree,84969,80687,93828
Notre Dame of Maryland University,"Private, nonprofit",Nursing,Bachelor's Degree,83354,82904,93763
Florida International University,Public,Nursing,Bachelor's Degree,78671,76631,93759
Thomas University,"Private, nonprofit",Nursing,Bachelor's Degree,74176,75942,93635
University of Delaware,Public,Nursing,Bachelor's Degree,81286,80264,93619
Villanova University,"Private, nonprofit",Nursing,Bachelor's Degree,86241,87471,93510
SUNY Polytechnic Institute,Public,Nursing,Bachelor's Degree,80210,82050,93501
SUNY College at Plattsburgh,Public,Nursing,Bachelor's Degree,76152,79280,93348
The University of Texas Health Science Center at Houston,Public,Nursing,Bachelor's Degree,82043,81067,93264
Schreiner University,"Private, nonprofit",Nursing,Bachelor's Degree,86950,80357,93241
University of Massachusetts-Lowell,Public,Nursing,Bachelor's Degree,78247,77250,93215
Clayton  State University,Public,Nursing,Bachelor's Degree,82714,84778,93169
Indian River State College,Public,Nursing,Bachelor's Degree,81648,78190,93083
Metropolitan State University,Public,Nursing,Bachelor's Degree,77421,83925,92966
Jacksonville University,"Private, nonprofit",Nursing,Bachelor's Degree,78924,79697,92956
University of West Georgia,Public,Nursing,Bachelor's Degree,77140,77594,92868
College of Our Lady of the Elms,"Private, nonprofit",Nursing,Bachelor's Degree,83775,84149,92829
Chamberlain University-Arizona,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-California,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Florida,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Georgia,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Illinois,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Indiana,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Louisiana,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Michigan,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Missouri,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Nevada,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-New Jersey,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-North Carolina,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Ohio,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Texas,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Chamberlain University-Virginia,"Private, for-profit",Nursing,Bachelor's Degree,83188,81995,92768
Colorado Technical University-Colorado Springs,"Private, for-profit",Nursing,Bachelor's Degree,87579,84584,92767
Saint Anselm College,"Private, nonprofit",Nursing,Bachelor's Degree,79609,78082,92755
Stevenson University,"Private, nonprofit",Nursing,Bachelor's Degree,79709,79043,92666
Temple University,Public,Nursing,Bachelor's Degree,82319,81560,92650
Lubbock Christian University,"Private, nonprofit",Nursing,Bachelor's Degree,83470,80608,92392
University of Rochester,"Private, nonprofit",Nursing,Bachelor's Degree,75093,83708,92348
Southern Connecticut State University,Public,Nursing,Bachelor's Degree,87795,85751,92153
Daytona State College,Public,Nursing,Bachelor's Degree,77838,74524,92128
Barry University,"Private, nonprofit",Nursing,Bachelor's Degree,81868,75302,91933
University of Saint Joseph,"Private, nonprofit",Nursing,Bachelor's Degree,86555,80507,91862
Baker College,"Private, nonprofit",Nursing,Bachelor's Degree,69067,81833,91838
State College of Florida-Manatee-Sarasota,Public,Nursing,Bachelor's Degree,76214,70141,91748
Florida National University-Main Campus,"Private, for-profit",Nursing,Bachelor's Degree,70042,78789,91684
Dalton State College,Public,Nursing,Bachelor's Degree,78830,78123,91520
Seattle University,"Private, nonprofit",Nursing,Bachelor's Degree,81021,82480,91519
Florida Agricultural and Mechanical University,Public,Nursing,Bachelor's Degree,64772,69195,91473
George Washington University,"Private, nonprofit",Nursing,Bachelor's Degree,79221,79066,91325
Arizona State University Campus Immersion,Public,Nursing,Bachelor's Degree,78180,79786,91152
Arizona State University Digital Immersion,Public,Nursing,Bachelor's Degree,78180,79786,91152
Texas Christian University,"Private, nonprofit",Nursing,Bachelor's Degree,77808,74265,91050
Florida SouthWestern State College,Public,Nursing,Bachelor's Degree,70923,79301,90986
University at Buffalo,Public,Nursing,Bachelor's Degree,78621,78910,90970
The Pennsylvania State University,Public,Nursing,Bachelor's Degree,77955,79755,90902
South University-Austin,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-Columbia,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-High Point,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-Montgomery,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-Richmond,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-Savannah,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-Savannah Online,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-Tampa,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-Virginia Beach,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
South University-West Palm Beach,"Private, for-profit",Nursing,Bachelor's Degree,77635,78626,90784
Salve Regina University,"Private, nonprofit",Nursing,Bachelor's Degree,78876,81759,90766
University of Rhode Island,Public,Nursing,Bachelor's Degree,82218,78248,90720
Marymount University,"Private, nonprofit",Nursing,Bachelor's Degree,80090,78648,90582
University of Houston,Public,Nursing,Bachelor's Degree,85740,75144,90501
Georgian Court University,"Private, nonprofit",Nursing,Bachelor's Degree,85963,82750,90484
University of Arkansas at Little Rock,Public,Nursing,Bachelor's Degree,78898,79046,90475
St Catherine University,"Private, nonprofit",Nursing,Bachelor's Degree,76084,79667,90472
Northeastern University,"Private, nonprofit",Nursing,Bachelor's Degree,78713,79142,90411
Northeastern University Professional Programs,"Private, nonprofit",Nursing,Bachelor's Degree,78713,79142,90411
Central Connecticut State University,Public,Nursing,Bachelor's Degree,83012,79413,90180
Worcester State University,Public,Nursing,Bachelor's Degree,75249,83113,89927
Salem State University,Public,Nursing,Bachelor's Degree,80641,79660,89918
Laboure College of Healthcare,"Private, nonprofit",Nursing,Bachelor's Degree,86071,82802,89636
Curry College,"Private, nonprofit",Nursing,Bachelor's Degree,79242,80599,89567
Alvernia University,"Private, nonprofit",Nursing,Bachelor's Degree,77394,78289,89545
University of Mount Olive,"Private, nonprofit",Nursing,Bachelor's Degree,81493,78472,89517
Southwestern Adventist University,"Private, nonprofit",Nursing,Bachelor's Degree,76795,76282,89478
University of Massachusetts-Amherst,Public,Nursing,Bachelor's Degree,81452,81555,89364
Texas A&M University-Texarkana,Public,Nursing,Bachelor's Degree,67768,73633,89360
Florida Atlantic University,Public,Nursing,Bachelor's Degree,77883,77035,89276
Winston-Salem State University,Public,Nursing,Bachelor's Degree,72639,73285,89276
University of New Mexico-Main Campus,Public,Nursing,Bachelor's Degree,82216,79642,89189
Neumann University,"Private, nonprofit",Nursing,Bachelor's Degree,82238,78899,89107
Galen College of Nursing-Cincinnati,"Private, for-profit",Nursing,Bachelor's Degree,76234,82003,89101
Galen College of Nursing-Louisville,"Private, for-profit",Nursing,Bachelor's Degree,76234,82003,89101
Galen College of Nursing-San Antonio,"Private, for-profit",Nursing,Bachelor's Degree,76234,82003,89101
Galen College of Nursing-Tampa Bay,"Private, for-profit",Nursing,Bachelor's Degree,76234,82003,89101
Galen Health Institutes-Austin Campus,"Private, for-profit",Nursing,Bachelor's Degree,76234,82003,89101
Galen Health Institutes-Nashville Campus,"Private, for-profit",Nursing,Bachelor's Degree,76234,82003,89101
Pennsylvania College of Health Sciences,"Private, nonprofit",Nursing,Bachelor's Degree,79477,78578,89085
George Mason University,Public,Nursing,Bachelor's Degree,78365,78115,89074
Emory University,"Private, nonprofit",Nursing,Bachelor's Degree,79073,78274,89034
Eastern University,"Private, nonprofit",Nursing,Bachelor's Degree,83733,75087,88979
MGH Institute of Health Professions,"Private, nonprofit",Nursing,Bachelor's Degree,81868,80654,88862
Midwestern State University,Public,Nursing,Bachelor's Degree,77928,77570,88837
American International College,"Private, nonprofit",Nursing,Bachelor's Degree,79889,80022,88785
Fitchburg State University,Public,Nursing,Bachelor's Degree,80228,78981,88660
Moravian University,"Private, nonprofit",Nursing,Bachelor's Degree,82585,73587,88645
Brookline College-Albuquerque,"Private, for-profit",Nursing,Bachelor's Degree,78980,79023,88614
Brookline College-Phoenix,"Private, for-profit",Nursing,Bachelor's Degree,78980,79023,88614
"University of Maryland, Baltimore",Public,Nursing,Bachelor's Degree,78568,75365,88499
Daemen University,"Private, nonprofit",Nursing,Bachelor's Degree,79376,79185,88444
Dillard University,"Private, nonprofit",Nursing,Bachelor's Degree,86585,73046,88360
University of Louisiana at Monroe,Public,Nursing,Bachelor's Degree,75828,69355,88262
The University of Texas Medical Branch at Galveston,Public,Nursing,Bachelor's Degree,80433,77678,88238
Shenandoah University,"Private, nonprofit",Nursing,Bachelor's Degree,81678,70543,88220
Minnesota State University Moorhead,Public,Nursing,Bachelor's Degree,78006,76288,88205
Texas Tech University Health Sciences Center,Public,Nursing,Bachelor's Degree,77083,76628,88194
Whitworth University,"Private, nonprofit",Nursing,Bachelor's Degree,78417,71583,88171
Colby-Sawyer College,"Private, nonprofit",Nursing,Bachelor's Degree,78856,74856,88122
Biola University,"Private, nonprofit",Nursing,Bachelor's Degree,93629,93741,88061
The University of Texas Rio Grande Valley,Public,Nursing,Bachelor's Degree,77619,74842,87989
Stratford University,"Private, for-profit",Nursing,Bachelor's Degree,78652,79782,87986
Millersville University of Pennsylvania,Public,Nursing,Bachelor's Degree,82137,77351,87952
ECPI University,"Private, for-profit",Nursing,Bachelor's Degree,77550,81440,87942
St Petersburg College,Public,Nursing,Bachelor's Degree,80787,75584,87906
MCPHS University,"Private, nonprofit",Nursing,Bachelor's Degree,80034,78544,87779
Fayetteville State University,Public,Nursing,Bachelor's Degree,73448,74916,87767
Nova Southeastern University,"Private, nonprofit",Nursing,Bachelor's Degree,77224,73951,87721
Saint Joseph's College of Maine,"Private, nonprofit",Nursing,Bachelor's Degree,74114,78119,87708
Texas Woman's University,Public,Nursing,Bachelor's Degree,76344,74424,87683
University of Louisiana at Lafayette,Public,Nursing,Bachelor's Degree,80416,74756,87367
Texas A & M University-Commerce,Public,Nursing,Bachelor's Degree,76559,73667,87338
Shorter University,"Private, nonprofit",Nursing,Bachelor's Degree,69009,67646,87314
University of St Francis,"Private, nonprofit",Nursing,Bachelor's Degree,75811,75032,87282
Northwest Florida State College,Public,Nursing,Bachelor's Degree,68745,66453,87244
Purdue University-Main Campus,Public,Nursing,Bachelor's Degree,71759,67061,87224
Texas A & M International University,Public,Nursing,Bachelor's Degree,75009,72877,87167
Western New Mexico University,Public,Nursing,Bachelor's Degree,73666,80589,87063
Medical University of South Carolina,Public,Nursing,Bachelor's Degree,68199,69232,87011
West Texas A & M University,Public,Nursing,Bachelor's Degree,74531,72915,86932
University of Massachusetts-Dartmouth,Public,Nursing,Bachelor's Degree,75659,70683,86771
University of Maine at Fort Kent,Public,Nursing,Bachelor's Degree,71551,76049,86651
Regis University,"Private, nonprofit",Nursing,Bachelor's Degree,76736,73450,86645
Virginia Commonwealth University,Public,Nursing,Bachelor's Degree,71847,72428,86488
Augsburg University,"Private, nonprofit",Nursing,Bachelor's Degree,80574,77817,86479
Lewis University,"Private, nonprofit",Nursing,Bachelor's Degree,76766,78313,86450
Westfield State University,Public,Nursing,Bachelor's Degree,81136,84941,86414
Pacific Lutheran University,"Private, nonprofit",Nursing,Bachelor's Degree,81761,76825,86344
Colorado Christian University,"Private, nonprofit",Nursing,Bachelor's Degree,71388,74053,86166
Niagara University,"Private, nonprofit",Nursing,Bachelor's Degree,72470,74348,86069
Tarleton State University,Public,Nursing,Bachelor's Degree,74753,73918,86067
Stephen F Austin State University,Public,Nursing,Bachelor's Degree,74683,73525,86054
Notre Dame College,"Private, nonprofit",Nursing,Bachelor's Degree,64474,70391,86036
Loyola University Chicago,"Private, nonprofit",Nursing,Bachelor's Degree,76869,77492,86020
Mississippi University for Women,Public,Nursing,Bachelor's Degree,74422,71441,85976
University of Illinois Chicago,Public,Nursing,Bachelor's Degree,75045,74072,85957
University of Miami,"Private, nonprofit",Nursing,Bachelor's Degree,75036,73738,85878
Louisiana Christian University,"Private, nonprofit",Nursing,Bachelor's Degree,80263,64206,85855
Mount Aloysius College,"Private, nonprofit",Nursing,Bachelor's Degree,72659,74509,85853
Georgia Southwestern State University,Public,Nursing,Bachelor's Degree,76025,72411,85821
Texas A & M University-College Station,Public,Nursing,Bachelor's Degree,78297,72981,85772
Towson University,Public,Nursing,Bachelor's Degree,80344,74833,85718
University of Michigan-Flint,Public,Nursing,Bachelor's Degree,80029,75731,85657
Utah Tech University,Public,Nursing,Bachelor's Degree,69616,82137,85622
University of Wyoming,Public,Nursing,Bachelor's Degree,71504,75177,85580
University of Arizona,Public,Nursing,Bachelor's Degree,78168,77151,85529
University of Alaska Anchorage,Public,Nursing,Bachelor's Degree,86823,77398,85348
Sam Houston State University,Public,Nursing,Bachelor's Degree,82463,76500,85287
Marquette University,"Private, nonprofit",Nursing,Bachelor's Degree,74574,74296,85237
University of South Florida,Public,Nursing,Bachelor's Degree,72879,73237,85063
Northern Arizona University,Public,Nursing,Bachelor's Degree,76782,75641,85036
Fairmont State University,Public,Nursing,Bachelor's Degree,77962,70701,85013
Washington State University,Public,Nursing,Bachelor's Degree,83894,76963,84931
Rivier University,"Private, nonprofit",Nursing,Bachelor's Degree,74292,73734,84892
Southwest Minnesota State University,Public,Nursing,Bachelor's Degree,71933,71933,84871
Le Moyne College,"Private, nonprofit",Nursing,Bachelor's Degree,82500,77260,84823
Olivet Nazarene University,"Private, nonprofit",Nursing,Bachelor's Degree,67670,74424,84759
Georgetown University,"Private, nonprofit",Nursing,Bachelor's Degree,84915,84513,84741
University of Minnesota-Twin Cities,Public,Nursing,Bachelor's Degree,72929,74652,84707
Sentara College of Health Sciences,"Private, nonprofit",Nursing,Bachelor's Degree,76356,71006,84691
Fort Hays State University,Public,Nursing,Bachelor's Degree,67435,65460,84609
University of North Georgia,Public,Nursing,Bachelor's Degree,75412,70003,84545
The University of Texas at El Paso,Public,Nursing,Bachelor's Degree,72429,71055,84537
Delaware State University,Public,Nursing,Bachelor's Degree,84049,74284,84512
Colorado State University Pueblo,Public,Nursing,Bachelor's Degree,71714,68315,84461
Purdue University Northwest,Public,Nursing,Bachelor's Degree,77691,75243,84328
The College of Saint Scholastica,"Private, nonprofit",Nursing,Bachelor's Degree,75499,75350,84270
University of Alabama at Birmingham,Public,Nursing,Bachelor's Degree,65173,66727,84228
Oklahoma City University,"Private, nonprofit",Nursing,Bachelor's Degree,72980,74926,84220
Bluefield University,"Private, nonprofit",Nursing,Bachelor's Degree,70698,71013,84158
Simmons University,"Private, nonprofit",Nursing,Bachelor's Degree,85096,79398,84018
Oak Point University,"Private, nonprofit",Nursing,Bachelor's Degree,75020,77083,83975
Rochester University,"Private, nonprofit",Nursing,Bachelor's Degree,72825,66808,83913
